snapshot_date,vpn_name,checked_at_raw,result_raw,price_raw,traffic_raw,devices_raw,details_url
2026-03-24,BlancVPN,"24 мар, 11:31",36/36,$10,Безлимит,Безлимит,
2026-03-24,Наружу,"23 мар, 01:00",34/36,$4,Безлимит,10,
2026-03-24,VPN Liberty,"24 мар, 12:54",28/36,$6,Безлимит,Безлимит,
2026-03-24,VPN Red Shield,"24 мар, 11:21",26/36,$10,Безлимит,10,
2026-03-24,VPN Generator,"24 мар, 11:20",24/36,$10,"100 ГБ/мес",Безлимит,
2026-03-24,PaperVPN,"24 мар, 11:26",19/36,$5,"100 ГБ/мес",Безлимит,
2026-03-24,Durev VPN,"24 мар, 11:32",13/36,$5,Безлимит,10,
2026-03-24,AmneziaVPN,"23 мар, 17:01",3/4,$4.70,Безлимит,7,
2026-03-24,TunnelBear,"24 мар, 11:20",3/36,$10,"2 ГБ",Безлимит,
2026-03-26,BlancVPN,"26 мар, 23:28",35/36,$10,Безлимит,Безлимит,
2026-03-26,VPN Liberty,"26 мар, 23:21",29/36,$6,Безлимит,Безлимит,
2026-03-26,Наружу,"27 мар, 00:11",29/36,$4,Безлимит,10,
2026-03-26,VPN Generator,"26 мар, 23:25",25/36,$10,"100 ГБ/мес",Безлимит,
2026-03-26,PaperVPN,"26 мар, 23:26",23/36,$5,"100 ГБ/мес",Безлимит,
2026-03-26,VPN Red Shield,"26 мар, 23:09",22/36,$10,Безлимит,10,
2026-03-26,AmneziaVPN,"26 мар, 23:12",20/24,$4.70,Безлимит,7,
2026-03-26,Durev VPN,"26 мар, 23:27",19/36,$5,Безлимит,10,
2026-03-26,TunnelBear,"25 мар, 12:56",3/36,$10,"2 ГБ",Безлимит,
2026-03-28,BlancVPN,"28 мар, 16:03",36/36,$10,Безлимит,Безлимит,
2026-03-28,VPN Generator,"28 мар, 16:24",29/36,$10,"100 ГБ/мес",Безлимит,
2026-03-28,Durev VPN,"28 мар, 16:07",28/36,$5,Безлимит,10,
2026-03-28,VPN Liberty,"28 мар, 16:21",25/36,$6,Безлимит,Безлимит,
2026-03-28,PaperVPN,"28 мар, 16:40",24/36,$5,"100 ГБ/мес",Безлимит,
2026-03-28,AmneziaVPN,"28 мар, 15:50",23/32,$4.70,Безлимит,7,
2026-03-28,Наружу,"28 мар, 16:13",17/36,$4,Безлимит,10,
2026-03-28,VPN Red Shield,"28 мар, 15:55",16/36,$10,Безлимит,10,
2026-03-28,TunnelBear,"28 мар, 16:14",3/36,$10,"2 ГБ",Безлимит,
2026-03-29,BlancVPN,"29 мар, 16:01",35/36,$10,Безлимит,Безлимит,
2026-03-29,VPN Generator,"29 мар, 14:41",32/36,$10,"100 ГБ/мес",Безлимит,
2026-03-29,Durev VPN,"29 мар, 16:06",31/36,$5,Безлимит,10,
2026-03-29,VPN Liberty,"29 мар, 14:43",30/36,$6,Безлимит,Безлимит,
2026-03-29,PaperVPN,"29 мар, 16:04",29/36,$5,"100 ГБ/мес",Безлимит,
2026-03-29,AmneziaVPN,"29 мар, 14:34",21/36,$4.70,Безлимит,7,
2026-03-29,Наружу,"29 мар, 15:58",15/36,$4,Безлимит,10,
2026-03-29,VPN Red Shield,"29 мар, 14:46",12/36,$10,Безлимит,10,
2026-03-29,TunnelBear,"29 мар, 16:07",3/36,$10,"2 ГБ",Безлимит,
